Media,Release Year,Director name,Is the director asian?,Character Name,Actor,Ethnicity Specified in Movie?,Character Ethnicity,Character Ethnicity (Cleaned),Character Nationality,Actor Ethnicity,Actor Ethnicity (Cleaned),Actor Nationality,Background Match?
THE MAN WITH THE IRON FISTS,2012,RZA,N,Silver Lion,Byron Mann,Y,Chinese,Chinese,Chinese,Chinese,Chinese,American,Y
THE MEDALLION,2003,Gordon Chan,Y,Eddie Yang,Jackie Chan,Y,Chinese,Chinese,Asian,Chinese,Chinese,American,Y
THE MUMMY: TOMB OF THE DRAGON EMPEROR,2008,Rob Cohen,N,Emperor,Jet Li,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE MUMMY: TOMB OF THE DRAGON EMPEROR,2008,Rob Cohen,N,General Yang,Anthony Wong,Y,Chinese,Chinese,,"Chinese, White",Multiethnic,,Y
THE MUMMY: TOMB OF THE DRAGON EMPEROR,2008,Rob Cohen,N,Lin,Isabella Leong,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE MUMMY: TOMB OF THE DRAGON EMPEROR,2008,Rob Cohen,N,Ming Guo,Russell Wong,Y,Chinese,Chinese,,"Chinese, White",Multiethnic,,Y
THE MUMMY: TOMB OF THE DRAGON EMPEROR,2008,Rob Cohen,N,Zi Yuan,Michelle Yeoh,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE NAMESAKE,2007,Mira Nair,Y,Ashima,Tabu,Y,Indian,Indian,Indian,Indian,Indian,American,Y
THE NAMESAKE,2007,Mira Nair,Y,Ashoke,Irrfan Khan,Y,Indian,Indian,Indian,Indian,Indian,American,Y
THE NAMESAKE,2007,Mira Nair,Y,Gogol/Nikhil,Kal Penn,Y,Indian,Indian,American,Indian,Indian,American,Y
THE NAMESAKE,2007,Mira Nair,Y,Moushumi Mazumder,Zuleikha Robinson,Y,Indian,Indian,American,"Burmese, Indian, White",Multiethnic,British,Y
THE RAILWAY MAN,2012,Jonathan Teplitzky,Y,Nagase,Hiroyuki Sanada,Y,Japanese,Japanese,Japanese,Japanese,Japanese,Japanese,Y
THE RAILWAY MAN,2012,Jonathan Teplitzky,Y,Young Nagase,Tanroh Ishida,Y,Japanese,Japanese,Japanese,Japanese,Japanese,British,Y
THE SECOND BEST EXOTIC MARIGOLD HOTEL,2015,John Madden,N,Sonny Kapoor,Dev Patel,Y,Indian,Indian,,Indian,Indian,,Y
THE SPY NEXT DOOR,2010,Brian Levant,N,Bob Ho,Jackie Chan,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
THE SUN IS ALSO A STAR,2018,Ry Russo-Young,N,Daniel Bae,Charles Melton,Y,Korean,Korean,American,"Korean, White",Multiethnic,American,Y
THE WOLVERINE,2013,James Mangold,N,Mariko,Tao Okamoto,Y,Japanese,Japanese,,Japanese,Japanese,,Y
THE WOLVERINE,2013,James Mangold,N,Noburo Mori,Brian Tee,Y,Japanese,Japanese,,Japanese,Japanese,,Y
THE WOLVERINE,2013,James Mangold,N,Shingen,Hiroyuki Sanada,Y,Japanese,Japanese,,Japanese,Japanese,,Y
THE WOLVERINE,2013,James Mangold,N,Yashida,Hal Yamanouchi,Y,Japanese,Japanese,,Japanese,Japanese,,Y
THE WOLVERINE,2013,James Mangold,N,Yukio,Rila Fukushima,Y,Japanese,Japanese,,Japanese,Japanese,,Y
TOMORROW NEVER DIES,1997,Roger Spottiswoode,N,Wai Lin,Michelle Yeoh,Y,Chinese,Chinese,China,Chinese,Chinese,Mongolian,Y
TWIN DRAGONS,1999,Ringo Lam,Y,Barbara,Maggie Cheung,Y,Chinese,Chinese,American,Chinese,Chinese,British,Y
TWIN DRAGONS,1999,Ringo Lam,Y,John Ma,Jackie Chan,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
TWIN DRAGONS,1999,Ringo Lam,Y,Tammy,Nina Li Chi,Y,Chinese,Chinese,American,Chinese,Chinese,Chinese,Y
UMMA,2022,Iris K. Shim,Y,Amanda,Sandra Oh,Y,Korean,Korean,American,Korean,Korean,American,Y
UMMA,2022,Iris K. Shim,Y,Umma,MeeWha Alana lee,Y,Korean,Korean,Korean,Korean,Korean,American,Y
WAR,2007,Philip G Atwell,N,Rogue / Li Chang,Jet Li,Y,Chinese,Chinese,American,Chinese,Chinese,Singapore,Y
