Movie ID,Actor ID,Media,Studio,Box Office,Release Year,Director name,Is the director asian?,Character Name,Actor,Ethnicity Specified in Movie?,Character Ethnicity,Character Ethnicity (Cleaned),Character Nationality,Actor Ethnicity,Actor Ethnicity (Cleaned),Actor Nationality,Background Match?
50,144,THE FAREWELL,Depth Of Field Productions,"$17,695,784",2019,Lulu Wang,Y,Jian,Diana Lin,Y,Chinese,Chinese,,Chinese,Chinese,Australian,Y
50,145,THE FAREWELL,Depth Of Field Productions,"$17,695,784",2019,Lulu Wang,Y,Nai Nai,Zhao Shuzhen,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
50,146,THE FAREWELL,Depth Of Field Productions,"$17,695,784",2019,Lulu Wang,Y,Uncle Haibin,Jianguo Yongbo,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
51,147,THE MAN WITH THE IRON FISTS,Universal Pictures,"$15,634,097",2012,RZA,N,Bronze Lion,Cung Le,Y,Chinese,Chinese,Chinese,Vietnamese,Vietnamese,American,N
51,148,THE MAN WITH THE IRON FISTS,Universal Pictures,"$15,634,097",2012,RZA,N,Lady Silk,Jamie Chung,Y,Chinese,Chinese,Chinese,Korean,Korean,American,N
51,149,THE MAN WITH THE IRON FISTS,Universal Pictures,"$15,634,097",2012,RZA,N,X-Blade,Rick Yune,Y,Chinese,Chinese,Chinese,Korean,Korean,American,N
51,150,THE MAN WITH THE IRON FISTS,Universal Pictures,"$15,634,097",2012,RZA,N,Chi Chi,Zhu Zhu,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
51,151,THE MAN WITH THE IRON FISTS,Universal Pictures,"$15,634,097",2012,RZA,N,Madame Blossom,Lucy Liu,Y,Chinese,Chinese,Chinese,Chinese,Chinese,American,Y
51,152,THE MAN WITH THE IRON FISTS,Universal Pictures,"$15,634,097",2012,RZA,N,Silver Lion,Byron Mann,Y,Chinese,Chinese,Chinese,Chinese,Chinese,American,Y
52,153,HOTEL MUMBAI,Screen Australia,"$9,651,617",2019,Anthony Maras,N,Arjun,Dev Patel,Y,Indian,Indian,Indian,Indian,Indian,American,Y
52,154,HOTEL MUMBAI,Screen Australia,"$9,651,617",2019,Anthony Maras,N,Hemant Oberoi,Anupam Kher,Y,Indian,Indian,Indian,Indian,Indian,Indian,Y
52,155,HOTEL MUMBAI,Screen Australia,"$9,651,617",2019,Anthony Maras,N,Zahra,Nazanin Boniadi,Y,Iranian,Iranian,British,Iranian,Iranian,Iranian,Y
53,156,SILENCE,Paramount Pictures,"$7,100,183",2016,Martin Scorsese,N,Interpreter,Tadanobu Asano,Y,Japanese,Japanese,Japanese,Japanese,Japanese,Japanese,Y
53,157,SILENCE,Paramount Pictures,"$7,100,183",2016,Martin Scorsese,N,Mokichi,Shinya Tsukamoto,Y,Japanese,Japanese,Japanese,Japanese,Japanese,Japanese,Y
54,158,THE GRANDMASTER,The Weinstein Company (DEFUNCT),"$6,594,968",2013,Kar Wai Wong,Y,Zhang Yongcheng,Hye-kyo Song,Y,Chinese,Chinese,Chinese,Korean,Korean,Korean,N
54,159,THE GRANDMASTER,The Weinstein Company (DEFUNCT),"$6,594,968",2013,Kar Wai Wong,Y,Ding Lianshan,Benshan Zhao,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
54,160,THE GRANDMASTER,The Weinstein Company (DEFUNCT),"$6,594,968",2013,Kar Wai Wong,Y,Gong Er,Ziyi Zhang,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
54,161,THE GRANDMASTER,The Weinstein Company (DEFUNCT),"$6,594,968",2013,Kar Wai Wong,Y,Ip Man,Tony Chiu Wai Leung,Y,Chinese,Chinese,Chinese,Chinese,Chinese,British,Y
54,162,THE GRANDMASTER,The Weinstein Company (DEFUNCT),"$6,594,968",2013,Kar Wai Wong,Y,San Jiang Shui,Xiaoshenyang,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
54,163,THE GRANDMASTER,The Weinstein Company (DEFUNCT),"$6,594,968",2013,Kar Wai Wong,Y,The Razor Yixiantian,Chang Chen,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Taiwanese,Y
55,164,THE INTERVIEW,Columbia Pictures,"$6,105,183",2013,"Evan Goldberg, Seth Rogen",N,Kim Jung-Un,Randall Park,Y,Korean,Korean,Korean,Korean,Korean,American,Y
56,165,THE SUN IS ALSO A STAR,Warner Bros. Pictures,"$4,950,034",2018,Ry Russo-Young,N,Daniel Bae,Charles Melton,Y,Korean,Korean,American,"Korean, White",Multiethnic,American,Y
57,166,THE RAILWAY MAN,Lionsgate U.K.,"$4,438,447",2012,Jonathan Teplitzky,Y,Nagase,Hiroyuki Sanada,Y,Japanese,Japanese,Japanese,Japanese,Japanese,Japanese,Y
57,167,THE RAILWAY MAN,Lionsgate U.K.,"$4,438,447",2012,Jonathan Teplitzky,Y,Young Nagase,Tanroh Ishida,Y,Japanese,Japanese,Japanese,Japanese,Japanese,British,Y
58,168,A HOLOGRAM FOR THE KING,Playtone,"$4,212,501",2016,Tom Tykwer,N,Yousef,Omar Elba,Y,Saudi Arabian,Saudi Arabian,Saudi Arabian,Egyptian,Egyptian,American,N
58,169,A HOLOGRAM FOR THE KING,Playtone,"$4,212,501",2016,Tom Tykwer,N,Zahra,Sarita Choudhury,Y,Saudi Arabian,Saudi Arabian,Saudi Arabian,"Bengali, White",Multiethnic,British,N
59,170,MY NAME IS KHAN,Dharma Productions,"$4,018,780",2010,Karan Johar,Y,Mandira,Kajol,Y,Indian,Indian,Indian,Indian,Indian,Indian,Y
59,171,MY NAME IS KHAN,Dharma Productions,"$4,018,780",2010,Karan Johar,Y,Rizwan Khan,Shah Rukh Khan,Y,Indian,Indian,Indian,Indian,Indian,Indian,Y
60,172,THE MAN WHO KNEW INFINITY,Pressman Film,"$3,866,803",2016,Matt Brown (XIII),N,Janaki,Devika Bhise,Y,Indian,Indian,,Indian,Indian,American,Y
60,173,THE MAN WHO KNEW INFINITY,Pressman Film,"$3,866,803",2016,Matt Brown (XIII),N,Srinivasa Ramanujan,Dev Patel,Y,Indian,Indian,,Indian,Indian,American,Y
61,174,LEARNING TO DRIVE,Broad Green Pictures (DEFUNCT),"$3,447,641",2015,Isabel Coixet,N,Darwan,Ben Kingsley,Y,Indian,Indian,Indian,"Indian, White",Multiethnic,British,Y
62,175,SPIDER-MAN: NO WAY HOME,Columbia Pictures,"$804,793,482",2021,John Watts,N,Ned,Jacob Batalon,Y,Filipino,Filipino,American,Filipino,Filipino,America,Y
63,176,SHANG-CHI AND THE LEGEND OF THE TEN RINGS,The Walt Disney Studios,"$224,543,301",2021,Destin Daniel Cretton,Y,Jiang Li,Fala Chen,Y,Chinese,Chinese,,Chinese,Chinese,,Y
63,177,SHANG-CHI AND THE LEGEND OF THE TEN RINGS,The Walt Disney Studios,"$224,543,301",2021,Destin Daniel Cretton,Y,Jiang Nan,Michelle Yeoh,Y,Chinese,Chinese,,Chinese,Chinese,,Y
63,178,SHANG-CHI AND THE LEGEND OF THE TEN RINGS,The Walt Disney Studios,"$224,543,301",2021,Destin Daniel Cretton,Y,Katy,Awkwafina,Y,Chinese,Chinese,American,"Chinese, Korean",Multiethnic,American,Y
63,179,SHANG-CHI AND THE LEGEND OF THE TEN RINGS,The Walt Disney Studios,"$224,543,301",2021,Destin Daniel Cretton,Y,Shang-Chi,Simu Liu,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
63,180,SHANG-CHI AND THE LEGEND OF THE TEN RINGS,The Walt Disney Studios,"$224,543,301",2021,Destin Daniel Cretton,Y,Wenwu,Tony Chiu Wai Leung,Y,Chinese,Chinese,,Chinese,Chinese,,Y
63,181,SHANG-CHI AND THE LEGEND OF THE TEN RINGS,The Walt Disney Studios,"$224,543,301",2021,Destin Daniel Cretton,Y,Wong,Benedict Wong,Y,Chinese,Chinese,,Chinese,Chinese,,Y
63,182,SHANG-CHI AND THE LEGEND OF THE TEN RINGS,The Walt Disney Studios,"$224,543,301",2021,Destin Daniel Cretton,Y,Xialing,Meng'Er Zhang,Y,Chinese,Chinese,,Chinese,Chinese,,Y
64,183,ETERNALS,The Walt Disney Studios,"$164,870,240",2021,Chloé Zhao,Y,Kingo,Kumail Nanjiani,Y,Indian,Indian,,Pakistani,Pakistani,,N
64,184,ETERNALS,The Walt Disney Studios,"$164,870,240",2021,Chloé Zhao,Y,Karun,Harish Patel,Y,Indian,Indian,,Indian,Indian,,Y
65,185,BULLET TRAIN,Columbia Pictures,"$103,368,605",2022,David Leitch,N,Elder,Hiroyuki Sanada,Y,Japanese,Japanese,,Japanese,Japanese,,Y
65,186,BULLET TRAIN,Columbia Pictures,"$103,368,605",2022,David Leitch,N,Kimura,Andrew Koji,Y,Japanese,Japanese,,"Japanese, White",Multiethnic,,Y
66,187,EVERYTHING EVERYWHERE ALL AT ONCE,A24,"$77,191,789",2022,"Daniel Kwan, Daniel Scheinert",Y,Evelyn Wang,Michelle Yeoh,Y,Chinese,Chinese,American,Chinese,Chinese,Malaysian,Y
66,188,EVERYTHING EVERYWHERE ALL AT ONCE,A24,"$77,191,789",2022,"Daniel Kwan, Daniel Scheinert",Y,Gong Gong,James Hong,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
66,189,EVERYTHING EVERYWHERE ALL AT ONCE,A24,"$77,191,789",2022,"Daniel Kwan, Daniel Scheinert",Y,Joy Wang,Stephanie Hsu,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
66,190,EVERYTHING EVERYWHERE ALL AT ONCE,A24,"$77,191,789",2022,"Daniel Kwan, Daniel Scheinert",Y,Waymond Wang,Ke Huy Quan,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
67,191,MORTAL KOMBAT,New Line Cinema,"$42,201,014",2021,Simon McQuoid,N,Sub-Zero,Joe Taslim,Y,Japanese,Japanese,,Indonesian,Indonesian,,N
67,192,MORTAL KOMBAT,New Line Cinema,"$42,201,014",2021,Simon McQuoid,N,Liu Kang,Ludi Lin,Y,Chinese,Chinese,,Chinese,Chinese,,Y
67,193,MORTAL KOMBAT,New Line Cinema,"$42,201,014",2021,Simon McQuoid,N,Raiden,Tadanobu Asano,Y,Japanese,Japanese,,Japanese,Japanese,,Y
67,194,MORTAL KOMBAT,New Line Cinema,"$42,201,014",2021,Simon McQuoid,N,Scorpion,Hiroyuki Sanada,Y,Japanese,Japanese,,Japanese,Japanese,,Y
67,195,MORTAL KOMBAT,New Line Cinema,"$42,201,014",2021,Simon McQuoid,N,Shang Tsung,Chin Han,Y,Chinese,Chinese,,Chinese,Chinese,,Y
68,196,EASTER SUNDAY,DreamWorks Pictures,"$13,013,697",2022,Jay Chandrasekhar,Y,Eugene,Eugene Cordero,Y,Filipino,Filipino,American,Filipino,Filipino,American,Y
68,197,EASTER SUNDAY,DreamWorks Pictures,"$13,013,697",2022,Jay Chandrasekhar,Y,Joe Valencia,Jo Koy,Y,Filipino,Filipino,American,"Filipino, White",Multiethnic,American,Y
68,198,EASTER SUNDAY,DreamWorks Pictures,"$13,013,697",2022,Jay Chandrasekhar,Y,Junior,Brandon Wardell,Y,Filipino,Filipino,American,"Filipino, Hispanic",Multiethnic,American,Y
68,199,EASTER SUNDAY,DreamWorks Pictures,"$13,013,697",2022,Jay Chandrasekhar,Y,Tita Theresa,Tia Carrere,Y,Filipino,Filipino,American,"Chinese, Filipino, Spanish",Multiethnic,American,Y
70,200,PAST LIVES,A24,"$11,331,991",2023,Celine Song,Y,Hae Sung,Teo Yoo,Y,Korean,Korean,American,Korean,Korean,German,Y
70,201,PAST LIVES,A24,"$11,331,991",2023,Celine Song,Y,Nora,Greta Lee,Y,Korean,Korean,Korean,Korean,Korean,American,Y
71,202,Minari,Plan B Entertainment,"$3,110,586",2020,Lee Isaac Chung,Y,Anne,Noel Cho,Y,Korean,Korean,American,Korean,Korean,American,Y
71,203,Minari,Plan B Entertainment,"$3,110,586",2020,Lee Isaac Chung,Y,David,Alan Kim,Y,Korean,Korean,American,Korean,Korean,American,Y
71,204,Minari,Plan B Entertainment,"$3,110,586",2020,Lee Isaac Chung,Y,Jacob,Steven Yeun,Y,Korean,Korean,American,Korean,Korean,American,Y
71,205,Minari,Plan B Entertainment,"$3,110,586",2020,Lee Isaac Chung,Y,Monica,Yeri Han,Y,Korean,Korean,American,Korean,Korean,Korean,Y
71,206,Minari,Plan B Entertainment,"$3,110,586",2020,Lee Isaac Chung,Y,Soonja,Yeo-jeong Yoon,Y,Korean,Korean,American,Korean,Korean,Korean,Y
71,207,Joy Ride,Lionsgate,"$12,897,797",2023,Adele Lim,Y,Audrey,Ashley Park III,Y,Korean,Korean,American,Korean,Korean,,Y
71,208,Joy Ride,Lionsgate,"$12,897,797",2023,Adele Lim,Y,Deadeye,Sabrina Wu,Y,Chinese,Chinese,American,Chinese,Chinese,,Y
71,209,Joy Ride,Lionsgate,"$12,897,797",2023,Adele Lim,Y,Kat,Stephanie Hsu,Y,Chinese,Chinese,American,Chinese,Chinese,,Y
71,210,Joy Ride,Lionsgate,"$12,897,797",2023,Adele Lim,Y,Lolo,Sherry Cola,Y,Chinese,Chinese,American,Chinese,Chinese,,Y
72,211,UMMA,Stage 6 Films,"$2,121,034",2022,Iris K. Shim,Y,Amanda,Sandra Oh,Y,Korean,Korean,American,Korean,Korean,American,Y
72,212,UMMA,Stage 6 Films,"$2,121,034",2022,Iris K. Shim,Y,Umma,MeeWha Alana lee,Y,Korean,Korean,Korean,Korean,Korean,American,Y
